Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
P55010	P55010	IF5_HUMAN	EIF5	Eukaryotic translation initiation factor 5	90.6675	91.1498	100.522
P55011	P55011	S12A2_HUMAN	SLC12A2	Solute carrier family 12 member 2			19.664
P55036	P55036	PSMD4_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4	95.197	100.67	100.494
P55039	P55039	DRG2_HUMAN	DRG2	Developmentally-regulated GTP-binding protein 2	24.0318	9.12541	10.6401
P55058	P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein	3.07288		
P55060	P55060	XPO2_HUMAN	CSE1L	Exportin-2	396.405	362.257	368.557
P55072	P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	459.295	454.786	480.581
P55084	P55084	ECHB_HUMAN	HADHB	Trifunctional enzyme subunit beta, mitochondrial	65.506	63.3752	62.9297
P55145	P55145	MANF_HUMAN	MANF	Mesencephalic astrocyte-derived neurotrophic factor	73.6298	82.0053	88.7466
P55196	P55196	AFAD_HUMAN	AFDN	Afadin			11.6993
P55199	P55199	ELL_HUMAN	ELL	RNA polymerase II elongation factor ELL			14.0644
P55209	P55209	NP1L1_HUMAN	NAP1L1	Nucleosome assembly protein 1-like 1	502.469	551.017	598.916
P55209;Q99733	Q99733;P55209	NP1L1_HUMAN;NP1L4_HUMAN	NAP1L1;NAP1L4	Nucleosome assembly protein 1-like 1	190.278	196.015	184.391
P55210	P55210	CASP7_HUMAN	CASP7	Caspase-7		17.131	13.8807
P55263	P55263	ADK_HUMAN	ADK	Adenosine kinase	33.3795	40.3634	56.5181
P55265	P55265	DSRAD_HUMAN	ADAR	Double-stranded RNA-specific adenosine deaminase	18.1684	24.6677	9.3814
P55327	P55327	TPD52_HUMAN	TPD52	Tumor protein D52	64.6785	66.9935	68.8642
P55735	P55735	SEC13_HUMAN	SEC13	Protein SEC13 homolog	37.2837	38.2305	52.1177
P55769	P55769	NH2L1_HUMAN	SNU13	NHP2-like protein 1	27.4412	34.4228	34.1431
P55786	A6NEC2;P55786	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase	158.619	156.742	143.831
P55795	P55795	HNRH2_HUMAN	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2	19.0857	30.8775	31.6688
P55809	Q9BYC2;P55809	SCOT1_HUMAN	OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	50.3167	32.0932	36.2969
P55884	P55884	EIF3B_HUMAN	EIF3B	Eukaryotic translation initiation factor 3 subunit B	275.843	257.193	257.651
P55957	P55957	BID_HUMAN	BID	BH3-interacting domain death agonist	15.3278	66.1614	15.677
P56134	P56134	ATPK_HUMAN	ATP5MF	ATP synthase subunit f, mitochondrial	381.441	394.504	390.615
P56182	P56182	RRP1_HUMAN	RRP1	Ribosomal RNA processing protein 1 homolog A	17.5147	29.7556	16.2444
P56192	P56192	SYMC_HUMAN	MARS1	Methionine--tRNA ligase, cytoplasmic	138.948	126.702	128.387
P56282	P56282	DPOE2_HUMAN	POLE2	DNA polymerase epsilon subunit 2			6.69591
P56378	P56378	ATP68_HUMAN	ATP5MJ	ATP synthase subunit ATP5MJ, mitochondrial	49.9959	44.8986	38.4131
P56381;Q5VTU8	P56381;Q5VTU8	AT5EL_HUMAN;ATP5E_HUMAN	ATP5F1E;ATP5F1EP2	ATP synthase subunit epsilon, mitochondrial	52.537	65.5371	50.4944
P56385	P56385	ATP5I_HUMAN	ATP5ME	ATP synthase subunit e, mitochondrial	103.729	91.6274	92.0376
P56537	P56537	IF6_HUMAN	EIF6	Eukaryotic translation initiation factor 6	371	429.302	379.177
P56545	P56545	CTBP2_HUMAN	CTBP2	C-terminal-binding protein 2	36.4412	39.1017	30.1352
P56545;Q13363	P56545;Q13363	CTBP1_HUMAN;CTBP2_HUMAN	CTBP1;CTBP2	C-terminal-binding protein 2	86.9116	71.2187	80.5464
P56556	P56556	NDUA6_HUMAN	NDUFA6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6			18.8135
P57088	P57088	TMM33_HUMAN	TMEM33	Transmembrane protein 33	169.211	135.293	125.637
P57105	P57105	SYJ2B_HUMAN	SYNJ2BP	Synaptojanin-2-binding protein			4.56788
P57678	P57678	GEMI4_HUMAN	GEMIN4	Gem-associated protein 4	29.7995	20.1929	18.6612
P57735	P57735	RAB25_HUMAN	RAB25	Ras-related protein Rab-25	34.6313		20.6902
P57735;Q15907	Q15907;P62491;P57735	RAB25_HUMAN;RB11B_HUMAN	RAB11B;RAB25	Ras-related protein Rab-25	110.53	100.049	83.9379
P57740	P57740	NU107_HUMAN	NUP107	Nuclear pore complex protein Nup107	17.9349	27.7837	18.27
P57764	P57764	GSDMD_HUMAN	GSDMD	Gasdermin-D	33.0501		40.9258
P58107	P58107	EPIPL_HUMAN	EPPK1	Epiplakin			9.31842
P58107;Q15149	Q15149;P58107	EPIPL_HUMAN;PLEC_HUMAN	EPPK1;PLEC	Epiplakin	41.8033	34.829	35.5614
P58546	P58546	MTPN_HUMAN	MTPN	Myotrophin	11.9373	8.44859	25.1046
P59910	P59910	DJB13_HUMAN	DNAJB13	DnaJ homolog subfamily B member 13	26.5125		
P59998	P59998	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4	163.12	214.691	155.375
P60033	P60033	CD81_HUMAN	CD81	CD81 antigen	68.509	66.6441	58.9223
P60059	P60059	SC61G_HUMAN	SEC61G	Protein transport protein Sec61 subunit gamma	25.5325	35.0001	13.2415
P60174	P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase	1331.81	1501.21	1494.62
P60228	P60228	EIF3E_HUMAN	EIF3E	Eukaryotic translation initiation factor 3 subunit E	167.695	144.3	157.743
P60468	P60468	SC61B_HUMAN	SEC61B	Protein transport protein Sec61 subunit beta	151.655	130.402	158.94
P60510	P60510	PP4C_HUMAN	PPP4C	Serine/threonine-protein phosphatase 4 catalytic subunit		33.9318	24.7711
P60520	P60520	GBRL2_HUMAN	GABARAPL2	Gamma-aminobutyric acid receptor-associated protein-like 2	14.3292		11.1609
P60602	P60602	ROMO1_HUMAN	ROMO1	Reactive oxygen species modulator 1	5.00995	21.6109	20.9732
P60660	P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	72.5577	82.7478	140.889
P60673	P60673	PROF3_HUMAN	PFN3	Profilin-3	43.9288	37.4556	26.0275
P60709;P63261	P60709;P63261	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1	6383.6	8207.03	7358.91
P60763	P60763	RAC3_HUMAN	RAC3	Ras-related C3 botulinum toxin substrate 3	34.4262	36.9996	30.8174
P60763;P63000	P63000;P60763	RAC1_HUMAN;RAC3_HUMAN	RAC1;RAC3	Ras-related C3 botulinum toxin substrate 3	68.5367	129.49	122.194
P60842	P60842	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	682.895	739.944	711.4
P60842;Q14240	P60842;Q14240	IF4A1_HUMAN;IF4A2_HUMAN	EIF4A1;EIF4A2	Eukaryotic initiation factor 4A-I	1716.49	1720.67	1652.08
P60866	P60866	RS20_HUMAN	RPS20	40S ribosomal protein S20	194.579	156.868	226.301
P60891	P60891	PRPS1_HUMAN	PRPS1	Ribose-phosphate pyrophosphokinase 1	45.0756	45.916	43.7091
P60900	P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	241.596	221.602	221.391
P60903	P60903	S10AA_HUMAN	S100A10	Protein S100-A10	48.4212	50.0784	96.9519
P60953	P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog	188.478	244.352	237.331
P60981	P60981	DEST_HUMAN	DSTN	Destrin	130.139	315.306	228.209
P60983	P60983	GMFB_HUMAN	GMFB	Glia maturation factor beta	61.7022	97.0446	61.8714
P61006	P61006	RAB8A_HUMAN	RAB8A	Ras-related protein Rab-8A	48.9946	53.5805	59.251
P61006;P62820;Q92930;Q9H0U4	Q92930;P62820;Q9H0U4;P61006	RAB1A_HUMAN;RAB1B_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN	RAB1A;RAB1B;RAB8A;RAB8B	Ras-related protein Rab-8A	52.6119	48.4614	39.5342
P61009	P61009	SPCS3_HUMAN	SPCS3	Signal peptidase complex subunit 3	53.8105	57.9206	52.6529
P61011	P61011	SRP54_HUMAN	SRP54	Signal recognition particle 54 kDa protein	41.6373	41.7119	38.5539
P61019	Q8WUD1;P61019	RAB2A_HUMAN	RAB2A	Ras-related protein Rab-2A	93.0483	96.4921	102.346
P61024	P61024	CKS1_HUMAN	CKS1B	Cyclin-dependent kinases regulatory subunit 1	22.2309		34.0701
P61026	P61026	RAB10_HUMAN	RAB10	Ras-related protein Rab-10	168.777	100.628	169.946
P61077	P61077;P62837	UB2D3_HUMAN	UBE2D3	Ubiquitin-conjugating enzyme E2 D3	265.491	218.723	270.767
P61081	P61081	UBC12_HUMAN	UBE2M	NEDD8-conjugating enzyme Ubc12	128.907	156.521	136.226
P61086	P61086	UBE2K_HUMAN	UBE2K	Ubiquitin-conjugating enzyme E2 K	132.503	121.776	119.441
P61088	P61088	UBE2N_HUMAN	UBE2N	Ubiquitin-conjugating enzyme E2 N	323.901	296.472	330.29
P61106	P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14	70.5883	70.327	64.0188
P61158	P61158	ARP3_HUMAN	ACTR3	Actin-related protein 3	116.345	129.885	121.604
P61160	P61160	ARP2_HUMAN	ACTR2	Actin-related protein 2	157.018	180.35	149.914
P61163	P61163	ACTZ_HUMAN	ACTR1A	Alpha-centractin	52.0175	60.1324	64.0361
P61201	P61201	CSN2_HUMAN	COPS2	COP9 signalosome complex subunit 2	65.6538	73.5229	56.418
P61204;P84077	P61204;P84077	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3	214.732	207.42	163.789
P61221	P61221	ABCE1_HUMAN	ABCE1	ATP-binding cassette sub-family E member 1	235.519	233.344	216.305
P61225	P61225;P10114;Q9Y3L5	RAP2B_HUMAN	RAP2B	Ras-related protein Rap-2b	23.7085	28.4179	40.9149
P61247	P61247	RS3A_HUMAN	RPS3A	40S ribosomal protein S3a	586.849	615.81	650.294
P61254	Q9UNX3;P61254	RL26_HUMAN	RPL26	60S ribosomal protein L26	492.759	502.666	578.613
P61289	P61289	PSME3_HUMAN	PSME3	Proteasome activator complex subunit 3	149.534	129.387	140.956
P61313	P61313	RL15_HUMAN	RPL15	60S ribosomal protein L15	551.552	519.794	526.865
P61326;Q96A72	P61326;Q96A72	MGN2_HUMAN;MGN_HUMAN	MAGOH;MAGOHB	Protein mago nashi homolog	141.908	160.166	115.985
P61353	P61353	RL27_HUMAN	RPL27	60S ribosomal protein L27	653.166	649.752	672.468
P61421	P61421	VA0D1_HUMAN	ATP6V0D1	V-type proton ATPase subunit d 1	20.9425	18.2523	16.728
P61457	Q9H0N5;P61457	PHS_HUMAN	PCBD1	Pterin-4-alpha-carbinolamine dehydratase	179.694	193.407	169.344
P61513	A6NKH3;P61513	RL37A_HUMAN	RPL37A	60S ribosomal protein L37a	134.741	128.442	155.111
P61586	P61586	RHOA_HUMAN	RHOA	Transforming protein RhoA	269.635	264.702	247.836
P61599	P61599	NAA20_HUMAN	NAA20	N-alpha-acetyltransferase 20			13.3395
P61604	P61604	CH10_HUMAN	HSPE1	10 kDa heat shock protein, mitochondrial	763.606	823.548	951.157
P61619	Q9H9S3;P61619	S61A1_HUMAN	SEC61A1	Protein transport protein Sec61 subunit alpha isoform 1	89.2302	77.9649	62.726
P61758	P61758	PFD3_HUMAN	VBP1	Prefoldin subunit 3	120.82	107.375	116.102
P61764	P61764	STXB1_HUMAN	STXBP1	Syntaxin-binding protein 1	31.8819		
P61769	P61769	B2MG_HUMAN	B2M	Beta-2-microglobulin	11.7614	5.11565	21.7267
P61803	P61803	DAD1_HUMAN	DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	29.167	23.4126	50.939
P61916	P61916	NPC2_HUMAN	NPC2	NPC intracellular cholesterol transporter 2	97.1365	90.6822	128.788
P61923	P61923	COPZ1_HUMAN	COPZ1	Coatomer subunit zeta-1	43.7077	43.8162	34.3106
P61927	P61927	RL37_HUMAN	RPL37	60S ribosomal protein L37			15.5457
P61956	Q6EEV6;P61956;P55854	SUMO2_HUMAN	SUMO2	Small ubiquitin-related modifier 2	730.464	675.799	727.627
P61960	P61960	UFM1_HUMAN	UFM1	Ubiquitin-fold modifier 1	47.354	57.8206	68.2347
P61962	P61962	DCAF7_HUMAN	DCAF7	DDB1- and CUL4-associated factor 7	40.8612	48.8241	36.9767
P61964	P61964	WDR5_HUMAN	WDR5	WD repeat-containing protein 5	29.623	35.7753	43.7283
P61966	P61966;P56377	AP1S1_HUMAN	AP1S1	AP-1 complex subunit sigma-1A	17.7693	13.5313	13.7832
P61970	P61970	NTF2_HUMAN	NUTF2	Nuclear transport factor 2	177.981	160.878	188.87
P61978	P61978	HNRPK_HUMAN	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	861.171	945.984	829.461
P61981	P61981	1433G_HUMAN	YWHAG	14-3-3 protein gamma	387.413	340.883	300.639
P62081	P62081	RS7_HUMAN	RPS7	40S ribosomal protein S7	599.661	611.708	542.495
P62136	P62136	PP1A_HUMAN	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	55.4562	74.2745	63.3964
P62140	P62140	PP1B_HUMAN	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	46.7366	58.7377	69.9049
P62191	P62191	PRS4_HUMAN	PSMC1	26S proteasome regulatory subunit 4	153.283	165.651	189.543
P62195	P62195	PRS8_HUMAN	PSMC5	26S proteasome regulatory subunit 8	130.122	124.994	139.017
P62195;Q8NB90	P62195;Q8NB90	AFG2H_HUMAN;PRS8_HUMAN	PSMC5;SPATA5	26S proteasome regulatory subunit 8	200.123	202.517	181.853
P62241	P62241	RS8_HUMAN	RPS8	40S ribosomal protein S8	740.78	800.357	783.046
P62244	P62244	RS15A_HUMAN	RPS15A	40S ribosomal protein S15a	596.072	587.095	544.054
P62249	P62249	RS16_HUMAN	RPS16	40S ribosomal protein S16	1235.85	1145.24	1108.76
P62256	P62256	UBE2H_HUMAN	UBE2H	Ubiquitin-conjugating enzyme E2 H	12.5736		20.7547
P62258	P62258	1433E_HUMAN	YWHAE	14-3-3 protein epsilon	446.897	458.076	450.572
P62263	P62263	RS14_HUMAN	RPS14	40S ribosomal protein S14	751.425	694.054	586.315
P62266	P62266	RS23_HUMAN	RPS23	40S ribosomal protein S23	629.335	567.089	552.666
P62269	P62269	RS18_HUMAN	RPS18	40S ribosomal protein S18	1012.26	1037.4	996.127
P62273	P62273	RS29_HUMAN	RPS29	40S ribosomal protein S29	109.196	134.792	131.757
P62277	P62277	RS13_HUMAN	RPS13	40S ribosomal protein S13	418.391	417.169	418.991
P62280	P62280	RS11_HUMAN	RPS11	40S ribosomal protein S11	272.02	282.947	280.003
P62304	P62304	RUXE_HUMAN	SNRPE	Small nuclear ribonucleoprotein E	529.607	578.725	376.41
P62306	P62306	RUXF_HUMAN	SNRPF	Small nuclear ribonucleoprotein F	86.4801	97.5593	84.224
P62310	P62310	LSM3_HUMAN	LSM3	U6 snRNA-associated Sm-like protein LSm3	11.7937	11.9963	32.3642
P62312	P62312	LSM6_HUMAN	LSM6	U6 snRNA-associated Sm-like protein LSm6	48.0459	66.4079	62.0729
P62314	P62314	SMD1_HUMAN	SNRPD1	Small nuclear ribonucleoprotein Sm D1	90.2188	128.189	96.679
P62316	P62316	SMD2_HUMAN	SNRPD2	Small nuclear ribonucleoprotein Sm D2	132.773	138.993	137.061
P62318	P62318	SMD3_HUMAN	SNRPD3	Small nuclear ribonucleoprotein Sm D3	300.392	340.203	238.563
P62330	P62330	ARF6_HUMAN	ARF6	ADP-ribosylation factor 6	105.514	82.1544	80.7637
P62333	P62333	PRS10_HUMAN	PSMC6	26S proteasome regulatory subunit 10B	103.563	123.324	133.969
P62380	P62380	TBPL1_HUMAN	TBPL1	TATA box-binding protein-like 1	5.91724		9.5985
P62424	P62424	RL7A_HUMAN	RPL7A	60S ribosomal protein L7a	723.319	745.064	712.068
P62487	P62487	RPB7_HUMAN	POLR2G	DNA-directed RNA polymerase II subunit RPB7	16.7005	9.66638	22.6629
P62495	P62495	ERF1_HUMAN	ETF1	Eukaryotic peptide chain release factor subunit 1	197.652	158.754	162.316
P62633	P62633	CNBP_HUMAN	CNBP	Cellular nucleic acid-binding protein	94.9966	103.332	154.536
P62701	Q8TD47;P62701	RS4X_HUMAN	RPS4X	40S ribosomal protein S4, X isoform	523.898	553.4	520.795
P62714	P62714	PP2AB_HUMAN	PPP2CB	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform			12.4684
P62714;P67775	P62714;P67775	PP2AA_HUMAN;PP2AB_HUMAN	PPP2CA;PPP2CB	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	209.093	238.801	219.19
P62750	P62750	RL23A_HUMAN	RPL23A	60S ribosomal protein L23a	499.856	501.89	573.859
P62753	P62753	RS6_HUMAN	RPS6	40S ribosomal protein S6	655.372	766.678	785.972
P62805	P62805	H4_HUMAN	H4C1	Histone H4	279.938	271.336	227.008
P62820	P62820	RAB1A_HUMAN	RAB1A	Ras-related protein Rab-1A	80.0928	91.417	77.0501
P62820;Q9H0U4	P62820;Q9H0U4	RAB1A_HUMAN;RAB1B_HUMAN	RAB1A;RAB1B	Ras-related protein Rab-1A	387.657	334.16	350.003
P62826	P62826	RAN_HUMAN	RAN	GTP-binding nuclear protein Ran	1059.88	1081.41	1119.95
P62829	P62829	RL23_HUMAN	RPL23	60S ribosomal protein L23	601.9	683.34	694.242
P62834	P62834;P61224	RAP1A_HUMAN	RAP1A	Ras-related protein Rap-1A	178.635	182.803	148.995
P62841	P62841	RS15_HUMAN	RPS15	40S ribosomal protein S15	446.199	552.329	418.941
P62847	P62847	RS24_HUMAN	RPS24	40S ribosomal protein S24	352.83	351.624	441.073
P62851	P62851	RS25_HUMAN	RPS25	40S ribosomal protein S25	1263.79	1306.13	1355.75
P62854	Q5JNZ5;P62854	RS26_HUMAN	RPS26	40S ribosomal protein S26	608.119	719	422.563
P62857	P62857	RS28_HUMAN	RPS28	40S ribosomal protein S28	461.63	677.891	532.301
P62861	P62861	RS30_HUMAN	FAU	40S ribosomal protein S30	578.047	610.083	677.073
P62873	P62873;P16520	GBB1_HUMAN	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	141.041	179.624	139.437
P62873;P62879	P62873;P62879	GBB1_HUMAN;GBB2_HUMAN	GNB1;GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	164.827	178.637	122.806
P62875	P62875	RPAB5_HUMAN	POLR2L	DNA-directed RNA polymerases I, II, and III subunit RPABC5	45.9137	25.525	29.3291
P62879	P62879	GBB2_HUMAN	GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	62.0871	86.1958	100.273
P62888	P62888	RL30_HUMAN	RPL30	60S ribosomal protein L30	735.356	877.627	751.638
P62891;Q59GN2	P62891;Q59GN2	R39L5_HUMAN;RL39_HUMAN	RPL39;RPL39P5	60S ribosomal protein L39	23.8533	41.9541	36.7302
P62899	P62899	RL31_HUMAN	RPL31	60S ribosomal protein L31	414.513	408.65	390.693
P62906	P62906	RL10A_HUMAN	RPL10A	60S ribosomal protein L10a	411.129	429.484	433.578
P62910	P62910	RL32_HUMAN	RPL32	60S ribosomal protein L32	342.791	400.843	458.16
P62913	P62913	RL11_HUMAN	RPL11	60S ribosomal protein L11	758.645	799.031	758.059
P62917	P62917	RL8_HUMAN	RPL8	60S ribosomal protein L8	407.363	418.226	405.253
P62937	P62937	PPIA_HUMAN	PPIA	Peptidyl-prolyl cis-trans isomerase A	4061.37	4268.88	4152.51
P62942	P62942	FKB1A_HUMAN	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A	264.259	314.675	298.479
P62979	P62979	RS27A_HUMAN	RPS27A	Ubiquitin-40S ribosomal protein S27a	1669.06	1754.37	2056.59
P62993	P62993	GRB2_HUMAN	GRB2	Growth factor receptor-bound protein 2	75.24	78.495	83.5331
P63000	P63000	RAC1_HUMAN	RAC1	Ras-related C3 botulinum toxin substrate 1	173.926	136.333	170.245
P63010	P63010	AP2B1_HUMAN	AP2B1	AP-2 complex subunit beta	54.6442	82.2126	56.0041
P63010;Q10567	P63010;Q10567	AP1B1_HUMAN;AP2B1_HUMAN	AP1B1;AP2B1	AP-2 complex subunit beta	96.0058	81.024	75.0705
P63092;Q5JWF2	P63092;Q5JWF2	GNAS1_HUMAN;GNAS2_HUMAN	GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	39.9613	55.2385	29.3725
P63096	P63096	GNAI1_HUMAN	GNAI1	Guanine nucleotide-binding protein G(i) subunit alpha-1	67.2162	78.8332	104.012
P63104	P63104	1433Z_HUMAN	YWHAZ	14-3-3 protein zeta/delta	2723.57	2662.05	2681.2
P63151	P63151	2ABA_HUMAN	PPP2R2A	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	71.3808	67.3407	71.5798
P63167	P63167	DYL1_HUMAN	DYNLL1	Dynein light chain 1, cytoplasmic	11.2011	29.531	27.1279
P63167;Q96FJ2	P63167;Q96FJ2	DYL1_HUMAN;DYL2_HUMAN	DYNLL1;DYNLL2	Dynein light chain 1, cytoplasmic	35.163	50.2411	73.8223
P63172	P63172	DYLT1_HUMAN	DYNLT1	Dynein light chain Tctex-type 1	22.3692	17.2758	17.5986
P63173	P63173	RL38_HUMAN	RPL38	60S ribosomal protein L38	200.051	225.917	157.507
P63208	P63208	SKP1_HUMAN	SKP1	S-phase kinase-associated protein 1	60.4393	58.232	81.9516
P63220	P63220	RS21_HUMAN	RPS21	40S ribosomal protein S21	515.027	492.409	566.291
P63241	Q6IS14;P63241;Q9GZV4	IF5A1_HUMAN	EIF5A	Eukaryotic translation initiation factor 5A-1	863.332	816.464	823.107
P63244	P63244	RACK1_HUMAN	RACK1	Receptor of activated protein C kinase 1	635.248	681.83	656.354
P63267	P68032;P62736;P68133;P63267	ACTH_HUMAN	ACTG2	Actin, gamma-enteric smooth muscle	8142.57	8936.55	7661.42
P63267;Q562R1	Q6S8J3;A5A3E0;P68032;P62736;Q562R1;Q9BYX7;P68133;P63267;P60709;P63261	ACTBL_HUMAN;ACTH_HUMAN	ACTBL2;ACTG2	Actin, gamma-enteric smooth muscle	7710.89	9704.56	6991.46
P63272	P63272	SPT4H_HUMAN	SUPT4H1	Transcription elongation factor SPT4		30.0848	28.2316
P63279	P63279	UBC9_HUMAN	UBE2I	SUMO-conjugating enzyme UBC9	124.215	152.717	188.325
P67775	P67775	PP2AA_HUMAN	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	37.0519	82.8524	76.2146
P67809	P67809	YBOX1_HUMAN	YBX1	Y-box-binding protein 1	439.598	320.265	306.231
P67812	P67812	SC11A_HUMAN	SEC11A	Signal peptidase complex catalytic subunit SEC11A	40.555	27.7943	39.9072
P67870	P67870	CSK2B_HUMAN	CSNK2B	Casein kinase II subunit beta	76.0652	90.7461	101.642
P67936	P67936	TPM4_HUMAN	TPM4	Tropomyosin alpha-4 chain	72.083	75.3401	77.4275
P68032;P68133	P68032;P62736;P68133	ACTC_HUMAN;ACTS_HUMAN	ACTA1;ACTC1	Actin, alpha cardiac muscle 1	121.382	148.836	55.1619
P68036	A0A1B0GUS4;P68036	UB2L3_HUMAN	UBE2L3	Ubiquitin-conjugating enzyme E2 L3	190.369	166.925	188.427
P68104;Q5VTE0	P68104;Q5VTE0	EF1A1_HUMAN;EF1A3_HUMAN	EEF1A1;EEF1A1P5	Elongation factor 1-alpha 1	4410.14	4794.75	4038.22
P68366	P68366	TBA4A_HUMAN	TUBA4A	Tubulin alpha-4A chain	1198.15	1571.32	1733.42
P68366;Q9BQE3	Q6PEY2;P0DPH8;Q9NY65;P68366;Q71U36;Q9BQE3;P68363;P0DPH7	TBA1C_HUMAN;TBA4A_HUMAN	TUBA1C;TUBA4A	Tubulin alpha-4A chain	3736.08	3449.27	2868.78
P68371	P68371	TBB4B_HUMAN	TUBB4B	Tubulin beta-4B chain	1203.62	1154.04	1149.38
P68371;Q13885	Q9BVA1;Q13885;P68371	TBB2A_HUMAN;TBB4B_HUMAN	TUBB2A;TUBB4B	Tubulin beta-4B chain		153.011	135.29
P68400	P68400;Q8NEV1	CSK21_HUMAN	CSNK2A1	Casein kinase II subunit alpha	68.9773	63.783	62.9512
P68402	P68402	PA1B2_HUMAN	PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit alpha2	90.9068	123.688	188.495
P68431;P84243;Q16695;Q71DI3	Q5TEC6;Q6NXT2;P68431;Q71DI3;Q16695;P84243	H31T_HUMAN;H31_HUMAN;H32_HUMAN;H33_HUMAN	H3-3A;H3-4;H3C1;H3C15	Histone H3.1	131.285	103.457	103.641
P68871	P68871	HBB_HUMAN	HBB	Hemoglobin subunit beta	653.621	1223.69	730.854
P69849;Q15155;Q5JPE7	Q5JPE7;Q15155;P69849	NOMO1_HUMAN;NOMO2_HUMAN;NOMO3_HUMAN	NOMO1;NOMO2;NOMO3	Nodal modulator 3	74.2888	62.9396	63.1138
P69905	P69905	HBA_HUMAN	HBA1	Hemoglobin subunit alpha	501.79	686.281	537.088
P78310	P78310	CXAR_HUMAN	CXADR	Coxsackievirus and adenovirus receptor			12.374
P78318	P78318	IGBP1_HUMAN	IGBP1	Immunoglobulin-binding protein 1	35.1354	32.0578	34.646
P78330	P78330	SERB_HUMAN	PSPH	Phosphoserine phosphatase	65.093	60.8477	55.937
P78344	P78344	IF4G2_HUMAN	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	168.616	142.05	170.872
P78345	P78345	RPP38_HUMAN	RPP38	Ribonuclease P protein subunit p38	14.1217		7.18045
P78346	P78346	RPP30_HUMAN	RPP30	Ribonuclease P protein subunit p30	15.0834	15.8932	16.122
P78347	P78347	GTF2I_HUMAN	GTF2I	General transcription factor II-I	81.8505	77.1307	77.8403
P78362	P78362	SRPK2_HUMAN	SRPK2	SRSF protein kinase 2			7.74897
P78362;Q96SB4	P78362;Q96SB4;Q9UPE1	SRPK1_HUMAN;SRPK2_HUMAN	SRPK1;SRPK2	SRSF protein kinase 2	15.8659	27.4426	13.5081
P78371	P78371	TCPB_HUMAN	CCT2	T-complex protein 1 subunit beta	784.021	775.4	828.115
P78406	P78406	RAE1L_HUMAN	RAE1	mRNA export factor		23.3191	22.3981
P78417	P78417	GSTO1_HUMAN	GSTO1	Glutathione S-transferase omega-1	400.303	411.305	406.937
P78527	P78527	PRKDC_HUMAN	PRKDC	DNA-dependent protein kinase catalytic subunit	170.233	158.991	166.22
P80303	P80303	NUCB2_HUMAN	NUCB2	Nucleobindin-2	14.5674	5.67992	21.2053
P81605	P81605	DCD_HUMAN	DCD	Dermcidin	56.8434	19.5545	62.0224
P82650	P82650	RT22_HUMAN	MRPS22	28S ribosomal protein S22, mitochondrial	45.7689	34.4679	50.9093
P82663	P82663	RT25_HUMAN	MRPS25	28S ribosomal protein S25, mitochondrial	16.1572	28.502	36.1618
P82673	P82673	RT35_HUMAN	MRPS35	28S ribosomal protein S35, mitochondrial	34.6315		25.9649
